datetime,Earliest eventStart,Earliest eventEnd,vehicleId,First eventType,First eventData,First moveMode,First eventPosition
2022-10-03 12:01:18,2022-10-03 12:01:18,2022-10-03 12:01:20,TK549,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040151913"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":27.468,""distance"":5.6296024,""relativeBearing"":9,""headingDifference"":-131.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.877144,50.196598]},""time"":2022-10-03 12:01:18.436,""positionUTM"":{""type"":""Point"",""coordinates"":[651511.25,5562646.5]}}"
2022-10-03 12:01:18,2022-10-03 12:01:18,2022-10-03 12:01:20,TK521,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040138313"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":25.452,""distance"":5.5141077,""relativeBearing"":-37,""headingDifference"":130.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87646,50.1964]},""time"":2022-10-03 12:01:18.472,""positionUTM"":{""type"":""Point"",""coordinates"":[651560.9,5562626.0]}}"
2022-10-03 12:01:19,2022-10-03 12:01:19,2022-10-03 12:01:21,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040150523"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":3,""name"":""Standstill""},""opponentSpeed"":0.0,""distance"":0.23790395,""relativeBearing"":4,""headingDifference"":144.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87912,50.189137]},""time"":2022-10-03 12:01:18.925,""positionUTM"":{""type"":""Point"",""coordinates"":[651393.9,5561813.0]}}"
2022-10-03 12:01:20,2022-10-03 12:01:20,2022-10-03 12:01:22,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040124513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":3.1481419,""relativeBearing"":-9,""headingDifference"":151.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87909,50.189125]},""time"":2022-10-03 12:01:20.027,""positionUTM"":{""type"":""Point"",""coordinates"":[651396.0,5561811.5]}}"
2022-10-03 12:01:20,2022-10-03 12:01:20,2022-10-03 12:01:22,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040151523"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.94256926,""relativeBearing"":3,""headingDifference"":140.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87909,50.189125]},""time"":2022-10-03 12:01:20.027,""positionUTM"":{""type"":""Point"",""coordinates"":[651396.0,5561811.5]}}"
2022-10-03 12:01:20,2022-10-03 12:01:20,2022-10-03 12:01:22,L19867,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040103413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":1.3423972,""relativeBearing"":1,""headingDifference"":-43.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87909,50.189125]},""time"":2022-10-03 12:01:20.027,""positionUTM"":{""type"":""Point"",""coordinates"":[651396.0,5561811.5]}}"
2022-10-03 12:01:24,2022-10-03 12:01:24,2022-10-03 12:01:32,L21568,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040116913"",""opponentVehicleType"":{""id"":33,""name"":""ServiceTruck""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":132,""headingDifference"":-15.0,""situation"":{""id"":0,""name"":""Unknown""},""acknowledge"":false}","{""id"":2,""name"":""Backward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87871,50.191242]},""time"":2022-10-03 12:01:23.465,""positionUTM"":{""type"":""Point"",""coordinates"":[651416.5,5562048.0]}}"
2022-10-03 12:01:39,2022-10-03 12:01:39,2022-10-03 12:01:41,L19503,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040137413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":3,""name"":""Standstill""},""opponentSpeed"":0.0,""distance"":11.0302925,""relativeBearing"":-33,""headingDifference"":-2.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.883026,49.73353]},""time"":2022-10-03 12:01:38.958,""positionUTM"":{""type"":""Point"",""coordinates"":[652548.5,5511154.5]}}"
2022-10-03 12:02:10,2022-10-03 12:02:10,2022-10-03 12:02:12,TK528,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040181313"",""opponentVehicleType"":{""id"":23,""name"":""WaterTanker""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":17.208,""distance"":2.5782814,""relativeBearing"":-9,""headingDifference"":178.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.89363,50.194977]},""time"":2022-10-03 12:02:10.166,""positionUTM"":{""type"":""Point"",""coordinates"":[650339.75,5562433.0]}}"
2022-10-03 12:02:21,2022-10-03 12:02:21,2022-10-03 12:02:24,L19536,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040154313"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":1.7279999,""distance"":0.5203328,""relativeBearing"":7,""headingDifference"":6.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88068,50.188587]},""time"":2022-10-03 12:02:20.807,""positionUTM"":{""type"":""Point"",""coordinates"":[651284.4,5561749.0]}}"
2022-10-03 12:02:24,2022-10-03 12:02:24,2022-10-03 12:02:26,L19112,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":3,""name"":""HIGH""},""opponentSerialNumber"":""70040107513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":122,""headingDifference"":-11.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88025,50.18863]},""time"":2022-10-03 12:02:24.024,""positionUTM"":{""type"":""Point"",""coordinates"":[651315.06,5561754.5]}}"
2022-10-03 12:02:30,2022-10-03 12:02:30,2022-10-03 12:02:34,L14663,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040179413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":0.0,""relativeBearing"":-8,""headingDifference"":110.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87937,50.188698]},""time"":2022-10-03 12:02:29.469,""positionUTM"":{""type"":""Point"",""coordinates"":[651377.25,5561764.0]}}"
2022-10-03 12:02:40,2022-10-03 12:02:40,2022-10-03 12:02:44,L18661,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040135513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":30.527998,""distance"":39.510265,""relativeBearing"":-11,""headingDifference"":89.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88698,49.754353]},""time"":2022-10-03 12:02:39.87,""positionUTM"":{""type"":""Point"",""coordinates"":[652198.8,5513462.0]}}"
2022-10-03 12:02:40,2022-10-03 12:02:40,2022-10-03 12:02:42,L18194,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040120513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":7,""name"":""Parked""},""opponentSpeed"":0.0,""distance"":2.3936462,""relativeBearing"":-18,""headingDifference"":84.0,""situation"":{""id"":5,""name"":""LxStartUp""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87935,50.18874]},""time"":2022-10-03 12:02:40.719,""positionUTM"":{""type"":""Point"",""coordinates"":[651378.8,5561768.5]}}"
2022-10-03 12:02:47,2022-10-03 12:02:47,2022-10-03 12:02:49,L19539,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040151913"",""opponentVehicleType"":{""id"":21,""name"":""HaulTruck""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":25.236,""distance"":42.98906,""relativeBearing"":13,""headingDifference"":-139.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.887344,50.193153]},""time"":2022-10-03 12:02:46.284,""positionUTM"":{""type"":""Point"",""coordinates"":[650794.4,5562243.0]}}"
2022-10-03 12:03:29,2022-10-03 12:03:29,2022-10-03 12:03:31,L21513,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":1,""name"":""LOW""},""opponentSerialNumber"":""70040123913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":32.868,""distance"":21.574364,""relativeBearing"":63,""headingDifference"":-86.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87982,50.196125]},""time"":2022-10-03 12:03:28.089,""positionUTM"":{""type"":""Point"",""coordinates"":[651321.6,5562588.5]}}"
2022-10-03 12:03:30,2022-10-03 12:03:30,2022-10-03 12:03:32,L21731,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040129413"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":24.732,""distance"":14.744497,""relativeBearing"":-30,""headingDifference"":95.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87918,50.19575]},""time"":2022-10-03 12:03:28.918,""positionUTM"":{""type"":""Point"",""coordinates"":[651368.94,5562548.0]}}"
2022-10-03 12:03:32,2022-10-03 12:03:32,2022-10-03 12:03:36,L21731,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040184513"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":45.612,""distance"":25.31076,""relativeBearing"":-81,""headingDifference"":78.0,""situation"":{""id"":2,""name"":""CxCurving""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.87923,50.196]},""time"":2022-10-03 12:03:32.127,""positionUTM"":{""type"":""Point"",""coordinates"":[651364.7,5562576.0]}}"
2022-10-03 12:03:33,2022-10-03 12:03:33,2022-10-03 12:03:37,L19539,"{""id"":1,""name"":""CollisionAlarm""}","{""danger"":{""id"":2,""name"":""MEDIUM""},""opponentSerialNumber"":""70040123913"",""opponentVehicleType"":{""id"":10,""name"":""LightVehicle""},""opponentMoveMode"":{""id"":1,""name"":""Forward""},""opponentSpeed"":16.236,""distance"":20.131063,""relativeBearing"":15,""headingDifference"":-78.0,""situation"":{""id"":1,""name"":""L1HeadOn""},""acknowledge"":false}","{""id"":1,""name"":""Forward""}","{""position"":{""type"":""Point"",""coordinates"":[-114.88009,50.19606]},""time"":2022-10-03 12:03:33.331,""positionUTM"":{""type"":""Point"",""coordinates"":[651303.0,5562581.0]}}"
