datetime_mst,vehicleId,speed,latitude,longitude,altitude,heading,vibration
2022-10-03 15:14:33,L17755,11.94663143157959,50.201244,-114.900710,1750,83,6.099999904632568
2022-10-03 15:14:33,TK669,11.827301025390625,50.201138,-114.899380,1743,312,2.0999999046325684
2022-10-03 15:14:33,TK542,10.306631088256836,50.202810,-114.901760,1757,320,3.700000047683716
2022-10-03 15:14:34,L17755,11.07238483428955,50.201250,-114.900665,1750,84,5.900000095367432
2022-10-03 15:14:34,TK669,11.830039978027344,50.201160,-114.899420,1744,311,2.700000047683716
2022-10-03 15:14:35,TK542,10.311659812927246,50.202827,-114.901780,1757,320,6
2022-10-03 15:14:35,L17755,10.936062812805176,50.201252,-114.900620,1750,82,6.5
2022-10-03 15:14:35,TK669,11.88087272644043,50.201180,-114.899460,1744,311,2
2022-10-03 15:14:35,TK544,10.877958297729492,50.202610,-114.898926,1739,260,4.599999904632568
2022-10-03 15:14:36,TK542,10.215693473815918,50.202850,-114.901810,1758,321,3.9000000953674316
2022-10-03 15:14:36,L17755,10.706958770751953,50.201260,-114.900580,1750,77,5.900000095367432
2022-10-03 15:14:36,TK669,12.38923168182373,50.201202,-114.899490,1744,312,3.0999999046325684
2022-10-03 15:14:36,TK544,11.13244342803955,50.202606,-114.898970,1740,260,2.700000047683716
2022-10-03 15:14:37,TK542,9.883950233459473,50.202873,-114.901840,1758,321,3.200000047683716
2022-10-03 15:14:37,L17755,10.26877498626709,50.201267,-114.900536,1749,71,5.300000190734863
2022-10-03 15:14:37,TK669,12.643433570861816,50.201225,-114.899536,1745,311,3.200000047683716
2022-10-03 15:14:37,TK544,10.890104293823242,50.202602,-114.899010,1740,260,7.300000190734863
2022-10-03 15:14:38,TK542,9.592294692993164,50.202892,-114.901860,1758,320,4
2022-10-03 15:14:38,L17755,9.467726707458496,50.201280,-114.900500,1749,64,3.4000000953674316
2022-10-03 15:14:38,TK669,12.568537712097168,50.201250,-114.899574,1745,311,2.5999999046325684
2022-10-03 15:14:38,TK544,11.180014610290527,50.202595,-114.899060,1740,260,5.5
2022-10-03 15:14:39,TK542,9.334002494812012,50.202910,-114.901886,1758,320,5
2022-10-03 15:14:39,L17755,8.675999641418457,50.201294,-114.900470,1749,60,7.400000095367432
2022-10-03 15:14:39,TK669,12.69703197479248,50.201270,-114.899610,1745,311,2.5
2022-10-03 15:14:39,TK544,11.04443359375,50.202590,-114.899110,1741,259,4.400000095367432
2022-10-03 15:14:40,TK542,9.430694580078125,50.202930,-114.901920,1758,320,3.5
2022-10-03 15:14:40,L17755,7.099306106567383,50.201300,-114.900444,1749,56,7.300000190734863
2022-10-03 15:14:40,TK669,13.079697608947754,50.201298,-114.899660,1746,311,3.4000000953674316
2022-10-03 15:14:41,TK544,10.973565101623535,50.202587,-114.899155,1741,259,5.099999904632568
2022-10-03 15:14:41,TK542,9.578503608703613,50.202953,-114.901940,1758,319,4.199999809265137
2022-10-03 15:14:41,L17755,6.2050676345825195,50.201310,-114.900420,1749,58,7.599999904632568
2022-10-03 15:14:42,TK669,13.280292510986328,50.201320,-114.899704,1746,312,2.799999952316284
2022-10-03 15:14:42,TK544,11.050827026367188,50.202580,-114.899200,1742,259,8.100000381469727
2022-10-03 15:14:42,TK542,9.957173347473145,50.202972,-114.901960,1759,321,2.4000000953674316
2022-10-03 15:14:42,L17755,5.2432861328125,50.201317,-114.900406,1749,57,7.199999809265137
2022-10-03 15:14:43,TK669,13.94668960571289,50.201347,-114.899750,1746,311,1.7999999523162842
2022-10-03 15:14:43,TK544,10.802999496459961,50.202576,-114.899240,1742,259,5.5
